סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,35646 ,5343 ,3615 ,1383 ,531 ,610 ,24164
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,766 ,52 ,195 ,246 ,94 ,85 ,94
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,428 ,37 ,61 ,156 ,47 ,56 ,71
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,618 ,41 ,128 ,193 ,86 ,56 ,114
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,813 ,51 ,205 ,250 ,120 ,33 ,154
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,448 ,32 ,93 ,159 ,56 ,41 ,67
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,742 ,33 ,181 ,237 ,117 ,91 ,83
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,646 ,48 ,182 ,198 ,85 ,41 ,92
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1294 ,65 ,410 ,402 ,275 ,88 ,54
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,192 ,15 ,34 ,68 ,28 ,15 ,32
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,224 ,21 ,45 ,78 ,27 ,17 ,36
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,894 ,69 ,172 ,310 ,115 ,121 ,107
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3424 ,180 ,684 ,1092 ,467 ,350 ,651
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,363 ,25 ,84 ,115 ,45 ,38 ,56
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,17428 ,1066 ,4597 ,5623 ,2663 ,1455 ,2024
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1785 ,102 ,326 ,632 ,239 ,195 ,291
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,42460 ,5929 ,10336 ,15726 ,3519 ,2754 ,4196
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,697 ,62 ,168 ,235 ,70 ,81 ,81
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,646 ,44 ,153 ,204 ,95 ,59 ,91
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,570 ,49 ,116 ,171 ,65 ,49 ,120
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,713 ,65 ,192 ,237 ,82 ,49 ,88
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,809 ,128 ,222 ,293 ,55 ,44 ,67
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,402 ,41 ,93 ,125 ,49 ,36 ,58
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3688 ,274 ,735 ,1273 ,414 ,437 ,555
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,2253 ,139 ,242 ,1142 ,204 ,184 ,342
